k;hyper_log_log_with_corrections_estimation;hyper_log_log_with_corrections_theoretical_relative_error;hyper_log_log_with_corrections_theoretical_error;hyper_log_log_with_corrections_standard_error;hyper_log_log_with_corrections_relative_error;recordinality_estimation;recordinality_theoretical_relative_error;recordinality_theoretical_error;recordinality_standard_error;recordinality_relative_error;pcsa_estimation;pcsa_theoretical_relative_error;pcsa_theoretical_error;pcsa_standard_error;pcsa_relative_error;kmv_estimation;kmv_theoretical_relative_error;kmv_theoretical_error;kmv_standard_error;kmv_relative_error
2;13053.429193460546;0.7346556613815755;6924.129608521349;11515.431329767765;66.30872009668941;12367.046807124727;12.254651124039674;115500.08684407393;36312.572781309886;68.56056668569249;10869.68569170957;0.551543289325507;5198.295501892903;6609.048125452223;27.13875390588337;7759.228716336673;0.7071067811865475;6664.48141268321;8695.354311760859;30.47308219980453
4;12790.038085824579;0.51948;4896.099;9229.422962914326;88.50564424686523;10412.70625843852;3.056001399022001;28802.813185782357;20481.913847639342;28.88918969293728;9615.131082050128;0.39;3675.75;3905.5225423493953;6.251038355421213;10122.226009959548;0.5;4712.5;5960.311916867297;26.478767466680054
16;9418.567213941607;0.25974;2448.0495;2390.3006952095047;2.3589721037297378;9085.083301995192;0.80270975851644;7565.539474017447;5629.61626706768;25.58870009995142;9597.486224540216;0.195;1837.875;1843.2402560934843;0.29192714920678037;9732.714659636189;0.25;2356.25;2876.7052839501735;22.0882879130047
64;9646.454663451834;0.12987;1224.02475;1229.8850836871907;0.47877575083270457;9615.384495119193;0.32883204234349506;3099.241999087441;2414.7851908930375;22.084651937342702;9574.983803722971;0.0975;918.9375;930.2109933455787;1.226796528118475;9368.561256560364;0.125;1178.125;1139.2482416078474;3.2998840014559216
256;9431.742434131278;0.064935;612.012375;584.369015538027;4.516797468674223;9354.131699982472;0.1430380092021329;1348.1332367301025;1052.0944379079685;21.959164773667034;9449.6211242038;0.04875;459.46875;463.32097434901;0.8384083463804555;9378.975425982673;0.0625;589.0625;571.4924922976054;2.9827068778600974
