dataset,actual_value,hyper_log_log_raw_estimation,hyper_log_log_raw_theoretical_relative_error,hyper_log_log_raw_theoretical_error,hyper_log_log_raw_standard_error,hyper_log_log_with_corrections_estimation,hyper_log_log_with_corrections_theoretical_relative_error,hyper_log_log_with_corrections_theoretical_error,hyper_log_log_with_corrections_standard_error,recordinality_estimation,recordinality_theoretical_relative_error,recordinality_theoretical_error,recordinality_standard_error,pcsa_estimation,pcsa_theoretical_relative_error,pcsa_theoretical_error,pcsa_standard_error,kmv_estimation,kmv_theoretical_relative_error,kmv_theoretical_error,kmv_standard_error
dracula,9425,9761.437211913837,0.01623375,153.00309375,98.43474867547721,9416.414951230043,0.01623375,153.00309375,161.545019031998,9406.8268026054,0.03895472324582275,367.1482665918794,169.61561960135606,9334.58593627313,0.06894291116568838,649.7869377366129,631.6286242740543,9419.658886763855,0.015625,147.265625,95.78925928568465
crusoe,6245,7024.326218624552,0.01623375,101.37976875000001,62.840448590941406,6254.830984979815,0.01623375,101.37976875000001,98.41710149079358,6257.926032702379,0.03700723828517761,231.11020309093416,92.00468361956779,6339.991846298384,0.06894291116568838,430.5484802297239,428.4627452082492,6252.331536516297,0.015625,97.578125,57.94376446984007
iliad,8925,9295.079070253829,0.01623375,144.88621875,97.59375537438656,8892.66770681642,0.01623375,144.88621875,150.52338810198643,8924.841400050811,0.03898971970441341,347.98324836188965,187.35169632210324,9017.221457346586,0.06894291116568838,615.3154821537687,619.814392873621,8936.026156989868,0.015625,139.453125,106.7271174637927
synthetic_1,20408,20387.919581274688,0.01623375,331.29837000000003,302.8785441098167,20406.250521050086,0.01623375,331.29837000000003,269.297922443844,20433.07263640979,0.04581777519181754,935.0491561146123,521.764450812094,20553.468064324923,0.06894291116568838,1406.9869310693684,1450.3044145371796,20407.69827123033,0.015625,318.875,302.7637849460428
quijote,23034,23041.34843715284,0.01623375,373.9281975,364.9101819917646,23099.723775938368,0.01623375,373.9281975,305.9655671387798,23080.543647121674,0.043447365637533424,1000.7666200949449,650.474290715407,22897.045078663254,0.06894291116568838,1588.031015790466,1365.6205205312854,22975.36217794378,0.015625,359.90625,317.64242743228425
test,512,3206.9496008251235,0.01623375,8.31168,4.080920763849189,512.5557555528059,0.01623375,8.31168,5.370309608421774,512.0,0.01725170676019819,8.832873861221474,0.0,530.9111499447388,0.06894291116568838,35.29877051683245,29.73850481557471,512.0,0.015625,8.0,0.0
